nohup: 忽略输入
Torch version: 2.3.1
CUDA available: True
Files already downloaded and verified
Files already downloaded and verified
类别 8 的数据样本不足，采样数从 5125 调整为 5000
Traning Client Total: 39642 3145 4768 4951 4330 4002 3810 3383 3680 5000 2573
Client 0: 397 0 4 0 0 0 15 0 0 377 1
Client 1: 398 0 0 0 0 0 4 0 34 0 360
Client 2: 398 22 0 0 0 0 0 0 0 369 7
Client 3: 397 11 0 0 345 0 0 25 0 16
Client 4: 397 4 0 0 357 0 12 0 3 0 21
Client 5: 397 258 111 0 5 0 0 7 9 5 2
Client 6: 399 0 0 0 0 0 0 1 374 0 24
Client 7: 397 57 0 0 0 0 0 20 303 9 8
Client 8: 395 0 0 3 0 0 232 2 0 158
Client 9: 397 0 0 158 4 0 125 110
Server: 2500 47 110 42 586 17 467 560 60 358 253
FedDU-Mut初始设置:
  服务器数据量: 2500
  服务器数据非IID度: 0.166608
  衰减率: 0.999
  Mutation幅度(radius): 5.0
  梯度范数参考值(lambda_ref): 500
  0%|          | 0/100 [00:00<?, ?it/s]  1%|          | 1/100 [00:07<12:56,  7.85s/it]  2%|▏         | 2/100 [00:15<12:13,  7.49s/it]  3%|▎         | 3/100 [00:22<12:04,  7.47s/it]  4%|▍         | 4/100 [00:29<11:51,  7.41s/it]  5%|▌         | 5/100 [00:37<11:43,  7.41s/it]  6%|▌         | 6/100 [00:44<11:32,  7.37s/it]  7%|▋         | 7/100 [00:51<11:10,  7.21s/it]  8%|▊         | 8/100 [00:58<10:53,  7.10s/it]  9%|▉         | 9/100 [01:05<10:39,  7.03s/it] 10%|█         | 10/100 [01:12<10:27,  6.97s/it] 11%|█         | 11/100 [01:19<10:22,  7.00s/it] 12%|█▏        | 12/100 [01:25<10:12,  6.96s/it] 13%|█▎        | 13/100 [01:32<10:06,  6.97s/it] 14%|█▍        | 14/100 [01:39<09:56,  6.94s/it] 15%|█▌        | 15/100 [01:46<09:47,  6.92s/it] 16%|█▌        | 16/100 [01:53<09:38,  6.89s/it] 17%|█▋        | 17/100 [02:00<09:31,  6.88s/it] 18%|█▊        | 18/100 [02:07<09:23,  6.88s/it] 19%|█▉        | 19/100 [02:14<09:16,  6.87s/it] 20%|██        | 20/100 [02:20<09:08,  6.86s/it] 21%|██        | 21/100 [02:27<09:04,  6.89s/it] 22%|██▏       | 22/100 [02:34<08:56,  6.88s/it] 23%|██▎       | 23/100 [02:41<08:48,  6.86s/it] 24%|██▍       | 24/100 [02:48<08:40,  6.85s/it] 25%|██▌       | 25/100 [02:55<08:34,  6.85s/it] 26%|██▌       | 26/100 [03:02<08:27,  6.86s/it] 27%|██▋       | 27/100 [03:08<08:20,  6.85s/it] 28%|██▊       | 28/100 [03:15<08:13,  6.86s/it] 29%|██▉       | 29/100 [03:22<08:09,  6.89s/it] 30%|███       | 30/100 [03:29<08:01,  6.88s/it] 31%|███       | 31/100 [03:36<07:54,  6.88s/it] 32%|███▏      | 32/100 [03:43<07:47,  6.87s/it] 33%|███▎      | 33/100 [03:50<07:39,  6.86s/it] 34%|███▍      | 34/100 [03:57<07:32,  6.86s/it] 35%|███▌      | 35/100 [04:03<07:27,  6.88s/it] 36%|███▌      | 36/100 [04:10<07:20,  6.88s/it] 37%|███▋      | 37/100 [04:17<07:12,  6.87s/it] 38%|███▊      | 38/100 [04:24<07:05,  6.86s/it] 39%|███▉      | 39/100 [04:31<06:58,  6.86s/it] 40%|████      | 40/100 [04:38<06:51,  6.86s/it] 41%|████      | 41/100 [04:45<06:46,  6.89s/it] 42%|████▏     | 42/100 [04:52<06:39,  6.88s/it] 43%|████▎     | 43/100 [04:58<06:31,  6.87s/it] 44%|████▍     | 44/100 [05:05<06:24,  6.87s/it] 45%|████▌     | 45/100 [05:12<06:17,  6.87s/it] 46%|████▌     | 46/100 [05:19<06:10,  6.87s/it] 47%|████▋     | 47/100 [05:26<06:03,  6.86s/it] 48%|████▊     | 48/100 [05:33<05:56,  6.86s/it] 49%|████▉     | 49/100 [05:40<05:51,  6.89s/it] 50%|█████     | 50/100 [05:47<05:43,  6.88s/it] 51%|█████     | 51/100 [05:53<05:36,  6.86s/it] 52%|█████▏    | 52/100 [06:00<05:29,  6.86s/it] 53%|█████▎    | 53/100 [06:07<05:22,  6.86s/it] 54%|█████▍    | 54/100 [06:14<05:15,  6.86s/it] 55%|█████▌    | 55/100 [06:21<05:08,  6.86s/it] 56%|█████▌    | 56/100 [06:28<05:01,  6.86s/it] 57%|█████▋    | 57/100 [06:35<04:56,  6.89s/it] 58%|█████▊    | 58/100 [06:41<04:49,  6.88s/it] 59%|█████▉    | 59/100 [06:48<04:41,  6.87s/it] 60%|██████    | 60/100 [06:55<04:34,  6.87s/it] 61%|██████    | 61/100 [07:02<04:27,  6.87s/it] 62%|██████▏   | 62/100 [07:09<04:21,  6.87s/it] 63%|██████▎   | 63/100 [07:16<04:14,  6.87s/it] 64%|██████▍   | 64/100 [07:23<04:07,  6.87s/it] 65%|██████▌   | 65/100 [07:30<04:01,  6.89s/it] 66%|██████▌   | 66/100 [07:36<03:53,  6.87s/it] 67%|██████▋   | 67/100 [07:43<03:46,  6.86s/it] 68%|██████▊   | 68/100 [07:50<03:39,  6.86s/it] 69%|██████▉   | 69/100 [07:57<03:32,  6.86s/it] 70%|███████   | 70/100 [08:04<03:25,  6.86s/it] 71%|███████   | 71/100 [08:11<03:19,  6.86s/it] 72%|███████▏  | 72/100 [08:18<03:12,  6.86s/it] 73%|███████▎  | 73/100 [08:25<03:05,  6.89s/it] 74%|███████▍  | 74/100 [08:31<02:58,  6.88s/it] 75%|███████▌  | 75/100 [08:38<02:51,  6.87s/it] 76%|███████▌  | 76/100 [08:45<02:44,  6.87s/it] 77%|███████▋  | 77/100 [08:52<02:38,  6.87s/it] 78%|███████▊  | 78/100 [08:59<02:31,  6.87s/it] 79%|███████▉  | 79/100 [09:06<02:24,  6.89s/it]Round 0: Server fixing with alpha=0.4751->0.4751, iters=18/50, grad_norm=78.7088, factor=1.0000
Round 0: Acc=16.05%, Loss=0.0125, D_P_t=0.0967, Alpha=0.4751
Round 1: Server fixing with alpha=0.7546->0.7546, iters=29/50, grad_norm=81.2669, factor=1.0000
Round 2: Server fixing with alpha=0.4250->0.4250, iters=16/50, grad_norm=86.2021, factor=1.0000
Round 3: Server fixing with alpha=0.4697->0.4697, iters=18/50, grad_norm=90.3761, factor=1.0000
Round 4: Server fixing with alpha=0.2313->0.2313, iters=9/50, grad_norm=96.8284, factor=1.0000
Round 5: Server fixing with alpha=0.2029->0.2029, iters=8/50, grad_norm=109.3047, factor=1.0000
Round 6: Server fixing with alpha=0.4569->0.4569, iters=18/50, grad_norm=124.5672, factor=1.0000
Round 7: Server fixing with alpha=0.5012->0.5012, iters=19/50, grad_norm=143.4805, factor=1.0000
Round 8: Server fixing with alpha=0.3745->0.3745, iters=14/50, grad_norm=169.0595, factor=1.0000
Round 9: Server fixing with alpha=0.2602->0.2602, iters=10/50, grad_norm=197.3997, factor=1.0000
Round 10: Server fixing with alpha=0.2120->0.2120, iters=8/50, grad_norm=228.3131, factor=1.0000
Round 10: Acc=34.73%, Loss=0.0106, D_P_t=0.0495, Alpha=0.2120
Round 11: Server fixing with alpha=0.4550->0.4550, iters=17/50, grad_norm=265.3426, factor=1.0000
Round 12: Server fixing with alpha=0.5229->0.5229, iters=20/50, grad_norm=299.9239, factor=1.0000
Round 13: Server fixing with alpha=0.5752->0.5752, iters=22/50, grad_norm=336.4873, factor=1.0000
Round 14: Server fixing with alpha=0.3213->0.3213, iters=12/50, grad_norm=386.8465, factor=1.0000
Round 15: Server fixing with alpha=0.4332->0.4332, iters=16/50, grad_norm=407.5779, factor=1.0000
Round 16: Server fixing with alpha=0.3967->0.3967, iters=15/50, grad_norm=446.6858, factor=1.0000
Round 17: Server fixing with alpha=0.2903->0.2903, iters=11/50, grad_norm=463.2683, factor=1.0000
Round 18: Server fixing with alpha=0.3502->0.3502, iters=13/50, grad_norm=474.3886, factor=1.0000
Round 19: Server fixing with alpha=0.4507->0.4470, iters=17/50, grad_norm=504.2138, factor=0.9916
Round 20: Server fixing with alpha=0.1663->0.1643, iters=6/50, grad_norm=505.9396, factor=0.9883
Round 20: Acc=46.22%, Loss=0.0073, D_P_t=0.0490, Alpha=0.1643
Round 21: Server fixing with alpha=0.2098->0.2032, iters=8/50, grad_norm=516.1825, factor=0.9686
Round 22: Server fixing with alpha=0.1225->0.1175, iters=4/50, grad_norm=521.3634, factor=0.9590
Round 23: Server fixing with alpha=0.3842->0.3636, iters=14/50, grad_norm=528.2644, factor=0.9465
Round 24: Server fixing with alpha=0.2630->0.2393, iters=10/50, grad_norm=549.5643, factor=0.9098
Round 25: Server fixing with alpha=0.1828->0.1690, iters=7/50, grad_norm=540.9759, factor=0.9243
Round 26: Server fixing with alpha=0.3787->0.3563, iters=15/50, grad_norm=531.4305, factor=0.9409
Round 27: Server fixing with alpha=0.2163->0.2033, iters=8/50, grad_norm=531.9887, factor=0.9399
Round 28: Server fixing with alpha=0.4087->0.3847, iters=16/50, grad_norm=531.2699, factor=0.9411
Round 29: Server fixing with alpha=0.2525->0.2408, iters=10/50, grad_norm=524.3002, factor=0.9537
Round 30: Server fixing with alpha=0.2536->0.2414, iters=10/50, grad_norm=525.2892, factor=0.9519
Round 30: Acc=49.32%, Loss=0.0052, D_P_t=0.0916, Alpha=0.2414
Round 31: Server fixing with alpha=0.3248->0.3086, iters=12/50, grad_norm=526.2619, factor=0.9501
Round 32: Server fixing with alpha=0.2482->0.2368, iters=9/50, grad_norm=523.9216, factor=0.9543
Round 33: Server fixing with alpha=0.2138->0.2071, iters=8/50, grad_norm=516.3181, factor=0.9684
Round 34: Server fixing with alpha=0.2247->0.2179, iters=8/50, grad_norm=515.6559, factor=0.9696
Round 35: Server fixing with alpha=0.2904->0.2721, iters=11/50, grad_norm=533.5778, factor=0.9371
Round 36: Server fixing with alpha=0.1801->0.1713, iters=7/50, grad_norm=525.7746, factor=0.9510
Round 37: Server fixing with alpha=0.2763->0.2700, iters=10/50, grad_norm=511.7440, factor=0.9771
Round 38: Server fixing with alpha=0.3741->0.3617, iters=14/50, grad_norm=517.1306, factor=0.9669
Round 39: Server fixing with alpha=0.2116->0.2039, iters=8/50, grad_norm=518.8224, factor=0.9637
Round 40: Server fixing with alpha=0.3245->0.3128, iters=12/50, grad_norm=518.6861, factor=0.9640
Round 40: Acc=49.28%, Loss=0.0036, D_P_t=0.1167, Alpha=0.3128
Round 41: Server fixing with alpha=0.4748->0.4580, iters=18/50, grad_norm=518.3548, factor=0.9646
Round 42: Server fixing with alpha=0.2453->0.2374, iters=9/50, grad_norm=516.7162, factor=0.9676
Round 43: Server fixing with alpha=0.2689->0.2545, iters=10/50, grad_norm=528.4273, factor=0.9462
Round 44: Server fixing with alpha=0.2515->0.2450, iters=9/50, grad_norm=513.2867, factor=0.9741
Round 45: Server fixing with alpha=0.2114->0.1976, iters=8/50, grad_norm=535.1460, factor=0.9343
Round 46: Server fixing with alpha=0.2224->0.2147, iters=8/50, grad_norm=518.0350, factor=0.9652
Round 47: Server fixing with alpha=0.2641->0.2545, iters=10/50, grad_norm=518.8113, factor=0.9637
Round 48: Server fixing with alpha=0.3602->0.3472, iters=14/50, grad_norm=518.7334, factor=0.9639
Round 49: Server fixing with alpha=0.1487->0.1459, iters=5/50, grad_norm=509.5500, factor=0.9813
Round 50: Server fixing with alpha=0.2311->0.2253, iters=9/50, grad_norm=512.8535, factor=0.9749
Round 50: Acc=53.48%, Loss=0.0036, D_P_t=0.0899, Alpha=0.2253
Round 51: Server fixing with alpha=0.3016->0.2894, iters=11/50, grad_norm=521.1145, factor=0.9595
Round 52: Server fixing with alpha=0.1737->0.1676, iters=6/50, grad_norm=518.2723, factor=0.9647
Round 53: Server fixing with alpha=0.3049->0.2899, iters=12/50, grad_norm=525.8584, factor=0.9508
Round 54: Server fixing with alpha=0.1573->0.1528, iters=6/50, grad_norm=514.7513, factor=0.9713
Round 55: Server fixing with alpha=0.2851->0.2723, iters=11/50, grad_norm=523.4404, factor=0.9552
Round 56: Server fixing with alpha=0.4206->0.3948, iters=16/50, grad_norm=532.6674, factor=0.9387
Round 57: Server fixing with alpha=0.2672->0.2573, iters=10/50, grad_norm=519.1729, factor=0.9631
Round 58: Server fixing with alpha=0.1668->0.1623, iters=6/50, grad_norm=513.7064, factor=0.9733
Round 59: Server fixing with alpha=0.2124->0.2048, iters=8/50, grad_norm=518.5763, factor=0.9642
Round 60: Server fixing with alpha=0.3616->0.3419, iters=14/50, grad_norm=528.7998, factor=0.9455
Round 60: Acc=50.07%, Loss=0.0026, D_P_t=0.1487, Alpha=0.3419
Round 61: Server fixing with alpha=0.0621->0.0602, iters=2/50, grad_norm=516.0939, factor=0.9688
Round 62: Server fixing with alpha=0.2366->0.2282, iters=9/50, grad_norm=518.2450, factor=0.9648
Round 63: Server fixing with alpha=0.3833->0.3744, iters=15/50, grad_norm=511.9234, factor=0.9767
Round 64: Server fixing with alpha=0.3423->0.3277, iters=13/50, grad_norm=522.2862, factor=0.9573
